"Quadrat","Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"A4",14,502,392,84,22,266,"Sinistral"
"A4",15,783,377,96,23,3,"Dextral"
"A4",16,416,269,161,27,332,"Sinistral"
"A4",17,370,210,111,24,54,"Sinistral"
"A4",18,112,188,108,24,324,"Dextral"
"A4",19,568,157,226,29,184,"Dextral"
"A4",20,535,127,237,30,32,"Dextral"
"A5",1,849,922,134,25,227,"Dextral"
"A5",2,648,884,174,27,328,"Sinistral"
"A5",3,693,854,215,29,101,"Sinistral"
"A5",4,911,713,136,25,329,"Dextral"
"A5",5,629,700,108,24,97,"Sinistral"
"A5",6,59,631,98,23,287,"Dextral"
"A5",7,306,539,199,28,151,"Dextral"
"A5",8,305,501,93,22,7,"Sinistral"
"A5",9,616,494,59,19,249,"Dextral"
"A5",10,861,475,192,28,267,"Dextral"
"A5",11,272,455,125,25,43,"Dextral"
"A5",12,97,450,142,26,336,"Dextral"
"A5",13,747,319,93,22,96,"Dextral"
"A5",14,327,209,79,21,327,"Sinistral"
"A5",15,153,159,246,30,296,"Sinistral"
"A5",16,152,148,126,25,29,"Sinistral"
"A5",17,96,139,98,23,249,"Sinistral"
"A5",18,543,137,125,25,244,"Sinistral"
"A5",19,764,63,144,26,343,"Sinistral"
"A5",20,363,48,139,26,168,"Dextral"
"A6",1,127,926,157,26,140,"Sinistral"
"A6",2,410,861,95,23,35,"Dextral"
"A6",3,291,816,74,21,306,"Dextral"
"A6",4,104,811,107,24,131,"Sinistral"
"A6",5,271,811,95,23,231,"Dextral"
"A6",6,263,706,71,20,93,"Sinistral"
"A6",7,569,701,82,21,220,"Dextral"
"A6",8,595,682,211,29,280,"Sinistral"
"A6",9,70,681,132,25,33,"Sinistral"
"A6",10,407,570,168,27,225,"Dextral"
"A6",11,552,569,25,12,157,"Dextral"
"A6",12,514,567,157,26,201,"Sinistral"
"A6",13,329,561,154,26,266,"Dextral"
"A6",14,743,471,52,18,154,"Dextral"
"A6",15,839,383,36,15,87,"Sinistral"
"A6",16,436,331,121,24,8,"Dextral"
"A6",17,755,277,156,26,103,"Sinistral"
"A6",18,858,223,161,27,81,"Dextral"
"A6",19,772,170,38,16,138,"Sinistral"
"A6",20,249,128,153,26,223,"Dextral"
"A7",1,26,920,146,26,332,"Dextral"
"A7",2,28,835,181,28,283,"Sinistral"
"A7",3,180,773,187,28,273,"Dextral"
"A7",4,303,645,131,25,330,"Dextral"
"A7",5,732,570,194,28,124,"Sinistral"
"A7",6,857,532,157,26,297,"Sinistral"
"A7",7,897,480,180,27,276,"Sinistral"
"A7",8,131,467,93,22,354,"Sinistral"
"A7",9,405,433,151,26,294,"Sinistral"
"A7",10,45,410,103,23,350,"Sinistral"
"A7",11,312,406,228,29,164,"Dextral"
"A7",12,435,367,78,21,216,"Sinistral"
"A7",13,633,350,101,23,164,"Dextral"
"A7",14,947,329,146,26,54,"Sinistral"
"A7",15,302,291,145,26,250,"Dextral"
"A7",16,727,280,209,29,349,"Sinistral"
"A7",17,489,185,128,25,16,"Dextral"
"A7",18,509,94,96,23,29,"Sinistral"
"A7",19,537,91,136,25,167,"Dextral"
"A7",20,529,47,118,24,1,"Dextral"
"A8",1,669,924,84,22,191,"Sinistral"
"A8",2,528,919,98,23,241,"Sinistral"
"A8",3,546,814,85,22,21,"Dextral"
"A8",4,873,780,227,29,40,"Sinistral"
"A8",5,543,699,110,24,343,"Sinistral"
"A8",6,69,662,123,25,53,"Dextral"
"A8",7,367,612,135,25,35,"Dextral"
"A8",8,491,598,123,25,15,"Dextral"
"A8",9,315,587,103,23,271,"Dextral"
"A8",10,457,459,183,28,86,"Sinistral"
"A8",11,835,447,55,18,279,"Dextral"
"A8",12,653,415,161,27,256,"Sinistral"
"A8",13,588,383,129,25,303,"Sinistral"
"A8",14,748,358,127,25,97,"Sinistral"
"A8",15,903,321,102,23,149,"Dextral"
"A8",16,333,292,62,19,26,"Dextral"
"A8",17,918,287,169,27,231,"Sinistral"
"A8",18,288,282,97,23,337,"Dextral"
"A8",19,794,243,179,27,276,"Dextral"
"A8",20,452,70,128,25,59,"Dextral"
"A9",1,888,913,197,28,325,"Sinistral"
"A9",2,515,870,197,28,57,"Sinistral"
"A9",3,778,845,245,30,242,"Sinistral"
"A9",4,300,814,73,21,258,"Sinistral"
"A9",5,359,802,82,21,247,"Sinistral"
"A9",6,258,553,180,28,239,"Sinistral"
"A9",7,870,498,161,27,250,"Sinistral"
"A9",8,58,495,135,25,43,"Sinistral"
"A9",9,845,467,116,24,315,"Dextral"
"A9",10,937,454,77,21,58,"Sinistral"
"A9",11,121,439,119,24,146,"Dextral"
"A9",12,179,427,117,24,33,"Dextral"
"A9",13,874,403,141,26,195,"Dextral"
"A9",14,660,355,160,27,108,"Sinistral"
"A9",15,436,337,67,20,134,"Dextral"
"A9",16,611,239,110,24,327,"Sinistral"
"A9",17,298,227,72,20,329,"Dextral"
"A9",18,929,186,86,22,48,"Sinistral"
"A9",19,903,135,200,28,96,"Sinistral"
"A9",20,518,85,103,23,113,"Dextral"
"B1",1,264,912,134,25,326,"Sinistral"
"B1",2,490,888,79,21,149,"Dextral"
"B1",3,551,782,115,24,112,"Sinistral"
"B1",4,167,758,136,25,350,"Sinistral"
"B1",5,62,655,244,30,291,"Dextral"
"B1",6,235,620,141,26,110,"Sinistral"
"B1",7,188,608,128,25,256,"Sinistral"
"B1",8,623,594,42,16,85,"Sinistral"
"B1",9,910,455,119,24,299,"Sinistral"
"B1",10,667,417,138,25,187,"Dextral"
"B1",11,135,324,61,19,211,"Sinistral"
"B1",12,242,294,206,29,260,"Sinistral"
"B1",13,550,251,175,27,84,"Dextral"
"B1",14,454,249,222,29,262,"Sinistral"
"B1",15,476,246,154,26,104,"Sinistral"
"B1",16,812,212,157,26,28,"Sinistral"
"B1",17,321,178,116,24,302,"Sinistral"
"B1",18,513,141,177,27,314,"Dextral"
"B1",19,97,138,95,23,174,"Sinistral"
"B1",20,391,105,76,21,88,"Sinistral"
"B10",1,269,876,111,24,140,"Dextral"
"B10",2,702,757,114,24,3,"Dextral"
"B10",3,941,702,134,25,14,"Dextral"
"B10",4,379,650,98,23,25,"Sinistral"
"B10",5,75,614,231,29,178,"Sinistral"
"B10",6,664,609,254,30,264,"Dextral"
"B10",7,473,539,226,29,356,"Dextral"
"B10",8,223,479,200,28,323,"Dextral"
"B10",9,517,439,123,25,147,"Sinistral"
"B10",10,488,425,198,28,180,"Sinistral"
"B10",11,128,411,115,24,254,"Sinistral"
"B10",12,386,396,122,25,305,"Sinistral"
"B10",13,517,362,102,23,119,"Sinistral"
"B10",14,707,280,111,24,146,"Sinistral"
"B10",15,141,155,103,23,27,"Sinistral"
"B10",16,69,133,96,23,107,"Sinistral"
"B10",17,765,117,122,25,105,"Sinistral"
"B10",18,399,87,115,24,284,"Sinistral"
"B10",19,876,82,130,25,66,"Sinistral"
"B10",20,53,62,115,24,26,"Dextral"
"B2",1,889,937,68,20,85,"Dextral"
"B2",2,446,869,97,23,40,"Sinistral"
"B2",3,420,819,59,19,181,"Sinistral"
"B2",4,68,793,201,28,209,"Sinistral"
"B2",5,294,619,147,26,336,"Dextral"
"B2",6,453,578,206,29,343,"Sinistral"
"B2",7,871,569,205,28,192,"Dextral"
"B2",8,795,560,124,25,144,"Sinistral"
"B2",9,472,420,168,27,57,"Sinistral"
"B2",10,219,399,118,24,220,"Sinistral"
"B2",11,628,370,115,24,323,"Dextral"
"B2",12,408,352,220,29,67,"Sinistral"
"B2",13,128,298,123,25,65,"Sinistral"
"B2",14,434,286,162,27,231,"Sinistral"
"B2",15,772,223,221,29,249,"Dextral"
"B2",16,720,199,148,26,45,"Sinistral"
"B2",17,471,180,73,21,348,"Sinistral"
"B2",18,446,66,156,26,235,"Dextral"
"B2",19,327,48,123,25,187,"Dextral"
"B2",20,766,32,136,25,311,"Sinistral"
"B3",1,339,931,59,19,108,"Sinistral"
"B3",2,426,812,144,26,60,"Dextral"
"B3",3,590,811,195,28,319,"Sinistral"
"B3",4,34,798,175,27,96,"Sinistral"
"B3",5,572,797,205,28,47,"Dextral"
"B3",6,535,782,119,24,297,"Sinistral"
"B3",7,716,765,108,24,75,"Sinistral"
"B3",8,872,648,145,26,116,"Dextral"
"B3",9,604,547,89,22,86,"Sinistral"
"B3",10,704,530,105,23,141,"Dextral"
"B3",11,438,455,162,27,136,"Dextral"
"B3",12,704,387,101,23,304,"Dextral"
"B3",13,323,359,135,25,1,"Sinistral"
"B3",14,151,196,128,25,345,"Sinistral"
"B3",15,847,185,135,25,153,"Sinistral"
"B3",16,907,165,181,28,233,"Sinistral"
"B3",17,874,79,219,29,47,"Dextral"
"B3",18,743,76,211,29,240,"Sinistral"
"B3",19,271,73,97,23,226,"Dextral"
"B3",20,791,59,138,25,254,"Sinistral"
"B4",1,52,942,143,26,95,"Sinistral"
"B4",2,39,934,163,27,78,"Dextral"
"B4",3,903,871,215,29,249,"Sinistral"
"B4",4,884,739,192,28,167,"Dextral"
"B4",5,119,703,97,23,278,"Sinistral"
"B4",6,478,653,191,28,189,"Sinistral"
"B4",7,85,557,120,24,171,"Dextral"
"B4",8,133,509,149,26,5,"Sinistral"
"B4",9,729,488,97,23,173,"Sinistral"
"B4",10,789,454,180,27,207,"Dextral"
"B4",11,758,447,106,23,225,"Sinistral"
"B4",12,219,443,201,28,125,"Dextral"
"B4",13,569,396,41,16,126,"Sinistral"
"B4",14,565,379,139,26,35,"Sinistral"
"B4",15,92,337,134,25,341,"Dextral"
"B4",16,593,155,57,19,242,"Dextral"
"B4",17,98,153,156,26,76,"Sinistral"
"B4",18,349,110,118,24,20,"Sinistral"
"B4",19,571,108,157,26,304,"Dextral"
"B4",20,880,89,95,23,109,"Dextral"
"B5",1,354,932,116,24,287,"Dextral"
"B5",2,293,853,209,29,341,"Dextral"
"B5",3,609,834,109,24,266,"Sinistral"
"B5",4,769,778,285,30,40,"Dextral"
"B5",5,509,719,207,29,142,"Sinistral"
"B5",6,354,714,138,25,173,"Dextral"
"B5",7,341,598,145,26,165,"Dextral"
"B5",8,479,594,111,24,56,"Dextral"
"B5",9,757,507,162,27,277,"Dextral"
"B5",10,508,428,88,22,226,"Sinistral"
"B5",11,761,420,189,28,116,"Dextral"
"B5",12,428,409,61,19,95,"Dextral"
"B5",13,243,387,212,29,17,"Dextral"
"B5",14,115,385,163,27,1,"Sinistral"
"B5",15,259,375,193,28,293,"Sinistral"
"B5",16,797,358,162,27,39,"Sinistral"
"B5",17,740,353,102,23,229,"Dextral"
"B5",18,701,344,34,15,153,"Sinistral"
"B5",19,532,283,32,14,72,"Dextral"
"B5",20,41,256,180,27,333,"Sinistral"
"B6",1,455,838,135,25,73,"Dextral"
"B6",2,192,800,177,27,2,"Dextral"
"B6",3,155,774,133,25,100,"Dextral"
"B6",4,643,687,70,20,23,"Dextral"
"B6",5,703,672,143,26,280,"Sinistral"
"B6",6,288,644,174,27,66,"Sinistral"
"B6",7,149,619,108,24,62,"Sinistral"
"B6",8,605,602,39,16,152,"Sinistral"
"B6",9,367,574,166,27,13,"Sinistral"
"B6",10,77,488,101,23,208,"Dextral"
"B6",11,320,396,106,23,228,"Sinistral"
"B6",12,93,354,178,27,131,"Sinistral"
"B6",13,720,284,96,23,242,"Sinistral"
"B6",14,538,247,164,27,189,"Dextral"
"B6",15,562,149,125,25,126,"Sinistral"
"B6",16,110,87,86,22,202,"Dextral"
"B6",17,635,84,33,15,58,"Sinistral"
"B6",18,247,83,101,23,60,"Sinistral"
"B6",19,741,81,249,30,28,"Sinistral"
"B6",20,701,70,201,28,168,"Sinistral"
"B7",1,177,932,87,22,343,"Sinistral"
"B7",2,796,811,111,24,238,"Sinistral"
"B7",3,758,803,102,23,7,"Dextral"
"B7",4,269,794,130,25,127,"Dextral"
"B7",5,919,793,206,29,73,"Sinistral"
"B7",6,839,786,95,23,183,"Dextral"
"B7",7,503,711,29,14,222,"Sinistral"
"B7",8,153,707,60,19,45,"Dextral"
"B7",9,703,585,149,26,196,"Dextral"
"B7",10,933,541,60,19,189,"Dextral"
"B7",11,37,517,136,25,23,"Sinistral"
"B7",12,524,412,207,29,237,"Sinistral"
"B7",13,118,302,152,26,260,"Sinistral"
"B7",14,715,295,114,24,20,"Sinistral"
"B7",15,710,266,212,29,305,"Dextral"
"B7",16,937,254,98,23,357,"Sinistral"
"B7",17,368,152,166,27,137,"Dextral"
"B7",18,722,120,104,23,111,"Sinistral"
"B7",19,697,73,117,24,141,"Sinistral"
"B7",20,926,25,120,24,91,"Dextral"
"B8",1,334,919,158,26,349,"Sinistral"
"B8",2,937,891,131,25,53,"Dextral"
"B8",3,766,862,108,24,291,"Dextral"
"B8",4,892,833,135,25,151,"Sinistral"
"B8",5,412,763,155,26,70,"Sinistral"
"B8",6,923,663,189,28,162,"Sinistral"
"B8",7,916,506,22,12,44,"Dextral"
"B8",8,178,503,118,24,333,"Sinistral"
"B8",9,867,318,99,23,346,"Dextral"
"B8",10,748,311,118,24,227,"Sinistral"
"B8",11,674,225,80,21,284,"Dextral"
"B8",12,517,217,64,20,197,"Dextral"
"B8",13,378,213,150,26,273,"Sinistral"
"B8",14,929,179,160,27,161,"Dextral"
"B8",15,243,175,172,27,271,"Dextral"
"B8",16,451,167,197,28,298,"Sinistral"
"B8",17,393,130,192,28,82,"Dextral"
"B8",18,902,113,116,24,28,"Sinistral"
"B8",19,340,82,54,18,207,"Sinistral"
"B8",20,464,76,83,22,348,"Dextral"
"B9",1,497,934,72,20,90,"Sinistral"
"B9",2,848,892,125,25,115,"Sinistral"
"B9",3,104,865,134,25,168,"Dextral"
"B9",4,902,862,124,25,15,"Sinistral"
"B9",5,186,808,129,25,207,"Sinistral"
"B9",6,47,808,190,28,126,"Sinistral"
"B9",7,120,702,59,19,224,"Dextral"
"B9",8,826,531,139,26,337,"Dextral"
"B9",9,932,387,145,26,226,"Sinistral"
"B9",10,802,374,79,21,14,"Sinistral"
"B9",11,625,335,96,23,348,"Sinistral"
"B9",12,312,325,105,23,132,"Dextral"
"B9",13,186,298,107,24,116,"Sinistral"
"B9",14,284,275,110,24,157,"Dextral"
"B9",15,44,217,95,23,280,"Dextral"
"B9",16,295,188,122,25,181,"Sinistral"
"B9",17,787,145,158,26,298,"Dextral"
"B9",18,694,143,115,24,169,"Sinistral"
"B9",19,398,110,59,19,278,"Sinistral"
"B9",20,649,30,124,25,22,"Sinistral"
"C1",1,723,895,93,22,163,"Sinistral"
"C1",2,649,705,84,22,228,"Dextral"
"C1",3,67,671,170,27,264,"Sinistral"
"C1",4,937,656,59,19,20,"Sinistral"
"C1",5,685,628,145,26,274,"Dextral"
"C1",6,50,413,146,26,80,"Dextral"
"C1",7,558,389,155,26,176,"Sinistral"
"C1",8,192,376,141,26,7,"Sinistral"
"C1",9,184,362,189,28,42,"Dextral"
"C1",10,151,353,164,27,280,"Sinistral"
"C1",11,641,350,144,26,4,"Sinistral"
"C1",12,718,293,98,23,248,"Dextral"
"C1",13,726,292,72,20,164,"Dextral"
"C1",14,877,224,182,28,0,"Dextral"
"C1",15,294,180,128,25,61,"Sinistral"
"C1",16,306,110,95,23,181,"Dextral"
"C1",17,778,101,119,24,285,"Sinistral"
"C1",18,916,62,156,26,207,"Dextral"
"C1",19,710,44,154,26,174,"Dextral"
"C1",20,40,38,189,28,102,"Dextral"
"C10",1,673,946,92,22,152,"Sinistral"
"C10",2,687,864,124,25,160,"Dextral"
"C10",3,824,852,183,28,15,"Sinistral"
"C10",4,455,851,219,29,221,"Dextral"
"C10",5,861,821,149,26,302,"Dextral"
"C10",6,235,794,143,26,82,"Dextral"
"C10",7,245,771,96,23,251,"Sinistral"
"C10",8,357,739,92,22,294,"Dextral"
"C10",9,304,664,68,20,147,"Dextral"
"C10",10,85,663,246,30,127,"Sinistral"
"C10",11,639,641,109,24,224,"Sinistral"
"C10",12,242,595,63,20,144,"Sinistral"
"C10",13,939,438,86,22,79,"Sinistral"
"C10",14,947,374,118,24,329,"Sinistral"
"C10",15,808,361,225,29,351,"Dextral"
"C10",16,424,335,132,25,117,"Dextral"
"C10",17,866,261,131,25,41,"Dextral"
"C10",18,296,245,64,20,192,"Sinistral"
"C10",19,366,231,162,27,332,"Sinistral"
"C10",20,621,109,144,26,249,"Dextral"
"C2",1,919,877,109,24,9,"Dextral"
"C2",2,112,865,104,23,94,"Sinistral"
"C2",3,329,784,178,27,313,"Dextral"
"C2",4,44,769,94,23,67,"Sinistral"
"C2",5,477,609,80,21,306,"Dextral"
"C2",6,280,583,134,25,123,"Dextral"
"C2",7,446,542,140,26,34,"Dextral"
"C2",8,164,530,87,22,140,"Dextral"
"C2",9,81,451,159,27,264,"Dextral"
"C2",10,113,434,133,25,214,"Sinistral"
"C2",11,453,309,69,20,30,"Dextral"
"C2",12,565,298,154,26,188,"Dextral"
"C2",13,283,244,160,27,175,"Dextral"
"C2",14,48,239,184,28,130,"Sinistral"
"C2",15,394,225,156,26,122,"Dextral"
"C2",16,683,208,137,25,51,"Dextral"
"C2",17,653,206,94,23,104,"Sinistral"
"C2",18,61,95,214,29,134,"Sinistral"
"C2",19,429,61,101,23,144,"Dextral"
"C2",20,770,30,99,23,128,"Sinistral"
"C3",1,594,881,158,27,68,"Dextral"
"C3",2,779,815,139,26,125,"Sinistral"
"C3",3,589,646,78,21,73,"Sinistral"
"C3",4,487,624,197,28,338,"Sinistral"
"C3",5,169,587,98,23,242,"Sinistral"
"C3",6,605,573,127,25,340,"Dextral"
"C3",7,571,518,133,25,74,"Sinistral"
"C3",8,561,506,136,25,179,"Dextral"
"C3",9,83,463,28,13,71,"Sinistral"
"C3",10,651,433,80,21,357,"Sinistral"
"C3",11,946,393,105,23,168,"Dextral"
"C3",12,864,382,149,26,166,"Sinistral"
"C3",13,273,290,175,27,268,"Sinistral"
"C3",14,852,259,120,24,3,"Sinistral"
"C3",15,244,247,76,21,98,"Sinistral"
"C3",16,145,233,207,29,196,"Sinistral"
"C3",17,278,199,190,28,201,"Sinistral"
"C3",18,753,142,82,22,303,"Dextral"
"C3",19,355,134,146,26,133,"Sinistral"
"C3",20,108,26,155,26,261,"Dextral"
"C4",1,641,811,46,17,178,"Sinistral"
"C4",2,861,795,94,23,110,"Sinistral"
"C4",3,703,750,112,24,104,"Sinistral"
"C4",4,737,739,160,27,33,"Sinistral"
"C4",5,78,735,87,22,330,"Dextral"
"C4",6,556,687,106,23,284,"Sinistral"
"C4",7,44,594,159,27,247,"Dextral"
"C4",8,805,594,165,27,78,"Dextral"
"C4",9,324,513,89,22,120,"Dextral"
"C4",10,763,457,68,20,305,"Dextral"
"C4",11,866,424,52,18,275,"Dextral"
"C4",12,53,384,211,29,151,"Sinistral"
"C4",13,781,343,94,22,206,"Sinistral"
"C4",14,388,280,99,23,110,"Dextral"
"C4",15,853,217,78,21,130,"Sinistral"
"C4",16,828,215,158,27,211,"Sinistral"
"C4",17,941,97,82,21,115,"Dextral"
"C4",18,134,92,182,28,259,"Dextral"
"C4",19,786,57,133,25,88,"Dextral"
"C4",20,83,56,105,23,299,"Dextral"
"C5",1,846,944,93,22,115,"Dextral"
"C5",2,66,777,125,25,301,"Dextral"
"C5",3,914,774,73,21,245,"Dextral"
"C5",4,109,623,156,26,228,"Dextral"
"C5",5,149,595,125,25,154,"Dextral"
"C5",6,345,590,213,29,49,"Dextral"
"C5",7,560,407,141,26,338,"Sinistral"
"C5",8,112,382,56,19,147,"Sinistral"
"C5",9,568,331,116,24,299,"Dextral"
"C5",10,231,327,184,28,350,"Sinistral"
"C5",11,247,316,184,28,176,"Dextral"
"C5",12,622,264,152,26,337,"Dextral"
"C5",13,214,253,136,25,155,"Sinistral"
"C5",14,273,222,101,23,86,"Dextral"
"C5",15,329,196,82,21,268,"Sinistral"
"C5",16,121,143,148,26,212,"Sinistral"
"C5",17,666,131,135,25,272,"Sinistral"
"C5",18,748,131,40,16,285,"Dextral"
"C5",19,928,57,151,26,172,"Sinistral"
"C5",20,796,28,135,25,61,"Sinistral"
"C6",1,462,944,160,27,37,"Sinistral"
"C6",2,695,835,118,24,42,"Dextral"
"C6",3,264,818,123,25,203,"Sinistral"
"C6",4,659,697,51,18,240,"Dextral"
"C6",5,795,649,99,23,144,"Dextral"
"C6",6,222,585,132,25,225,"Sinistral"
"C6",7,432,580,108,24,169,"Dextral"
"C6",8,631,550,191,28,215,"Sinistral"
"C6",9,181,537,115,24,261,"Sinistral"
"C6",10,140,495,131,25,75,"Sinistral"
"C6",11,810,467,91,22,344,"Sinistral"
"C6",12,445,431,96,23,327,"Dextral"
"C6",13,583,416,176,27,134,"Sinistral"
"C6",14,419,382,87,22,318,"Dextral"
"C6",15,419,371,38,16,256,"Dextral"
"C6",16,641,320,40,16,356,"Dextral"
"C6",17,621,313,116,24,305,"Sinistral"
"C6",18,348,295,87,22,138,"Dextral"
"C6",19,721,163,125,25,82,"Dextral"
"C6",20,641,141,63,20,213,"Dextral"
"C7",1,591,935,177,27,284,"Sinistral"
"C7",2,353,933,152,26,39,"Sinistral"
"C7",3,944,870,147,26,50,"Dextral"
"C7",4,108,838,145,26,280,"Sinistral"
"C7",5,468,838,244,30,270,"Sinistral"
"C7",6,566,819,76,21,29,"Dextral"
"C7",7,835,707,85,22,276,"Dextral"
"C7",8,39,681,190,28,160,"Dextral"
"C7",9,641,620,127,25,86,"Dextral"
"C7",10,303,601,69,20,129,"Sinistral"
"C7",11,332,573,114,24,225,"Sinistral"
"C7",12,746,573,75,21,98,"Dextral"
"C7",13,832,543,199,28,348,"Dextral"
"C7",14,593,517,90,22,341,"Dextral"
"C7",15,548,439,171,27,37,"Sinistral"
"C7",16,723,251,132,25,42,"Dextral"
"C7",17,184,246,164,27,42,"Sinistral"
"C7",18,504,214,95,23,205,"Sinistral"
"C7",19,463,126,33,15,229,"Dextral"
"C7",20,237,75,139,26,356,"Dextral"
"C8",1,892,887,224,29,138,"Dextral"
"C8",2,685,841,110,24,271,"Sinistral"
"C8",3,30,835,81,21,79,"Dextral"
"C8",4,253,835,140,26,232,"Dextral"
"C8",5,942,827,120,24,78,"Dextral"
"C8",6,73,824,195,28,340,"Dextral"
"C8",7,586,643,34,15,145,"Sinistral"
"C8",8,365,601,147,26,302,"Sinistral"
"C8",9,644,506,118,24,252,"Dextral"
"C8",10,786,502,127,25,175,"Dextral"
"C8",11,825,489,95,23,196,"Dextral"
"C8",12,275,376,144,26,158,"Dextral"
"C8",13,941,345,150,26,300,"Sinistral"
"C8",14,739,343,119,24,88,"Sinistral"
"C8",15,639,320,81,21,330,"Sinistral"
"C8",16,724,311,193,28,43,"Dextral"
"C8",17,538,279,95,23,260,"Sinistral"
"C8",18,125,272,115,24,241,"Sinistral"
"C8",19,670,141,146,26,120,"Dextral"
"C8",20,383,39,99,23,14,"Sinistral"
"C9",1,83,940,100,23,48,"Sinistral"
"C9",2,744,929,83,22,335,"Sinistral"
"C9",3,437,893,148,26,161,"Sinistral"
"C9",4,290,874,162,27,177,"Sinistral"
"C9",5,898,861,97,23,280,"Sinistral"
"C9",6,189,860,138,25,282,"Dextral"
"C9",7,115,854,120,24,125,"Sinistral"
"C9",8,576,788,199,28,97,"Dextral"
"C9",9,330,784,127,25,132,"Sinistral"
